type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-09-15 21:50:46,40.72090403,-73.99761621,12,-5.204,,2.240,20,9,23,,
T,2021-09-15 21:50:47,40.72092570,-73.99760606,12,-4.894,,2.560,19,7,23,,
T,2021-09-15 21:50:48,40.72095029,-73.99759500,12,-4.459,,2.770,19,9,23,,
T,2021-09-15 21:50:49,40.72097151,-73.99758455,12,-4.000,,2.680,20,9,23,,
T,2021-09-15 21:50:50,40.72099498,-73.99757370,12,-3.762,,2.920,21,9,23,,
T,2021-09-15 21:50:51,40.72101991,-73.99756111,12,-3.611,,3.090,21,9,23,,
T,2021-09-15 21:50:52,40.72103497,-73.99755523,12,-2.806,,2.750,21,8,23,,
T,2021-09-15 21:50:53,40.72105441,-73.99754623,12,-2.341,,2.350,20,11,23,,
T,2021-09-15 21:50:54,40.72106897,-73.99753938,12,-2.013,,1.060,20,9,23,,
T,2021-09-15 21:50:55,40.72107662,-73.99753335,12,-1.941,,0.180,20,10,23,,
T,2021-09-15 21:50:56,40.72107648,-73.99753388,12,-2.054,,0.000,,9,23,,
T,2021-09-15 21:51:02,40.72113008,-73.99749593,11,-5.230,,0.000,,12,23,,
T,2021-09-15 21:51:03,40.72111969,-73.99749609,11,-4.951,,0.000,,17,23,,
T,2021-09-15 21:51:04,40.72110777,-73.99749267,11,-4.793,,0.000,,16,23,,
T,2021-09-15 21:51:07,40.72109781,-73.99748571,11,-4.453,,0.000,,15,23,,
T,2021-09-15 21:51:11,40.72109996,-73.99749971,11,-4.763,,0.000,,15,23,,
T,2021-09-15 21:51:15,40.72109761,-73.99751133,11,-4.307,,0.000,,17,23,,
T,2021-09-15 21:51:47,40.72110021,-73.99751275,11,-3.592,,0.000,,14,23,,
T,2021-09-15 21:51:48,40.72111464,-73.99750333,11,-5.468,,1.010,16,15,23,,
T,2021-09-15 21:51:49,40.72113289,-73.99750026,11,-7.156,,1.300,15,15,23,,
T,2021-09-15 21:51:50,40.72115093,-73.99749993,11,-8.407,,1.630,15,16,23,,
T,2021-09-15 21:51:51,40.72116982,-73.99749524,11,-8.838,,1.920,15,16,23,,
T,2021-09-15 21:51:52,40.72120600,-73.99747917,11,-11.082,,3.500,15,18,23,,
T,2021-09-15 21:51:53,40.72124214,-73.99746367,11,-11.005,,3.280,15,18,23,,
T,2021-09-15 21:51:54,40.72128276,-73.99745437,11,-10.429,,3.660,15,17,23,,
T,2021-09-15 21:51:55,40.72133231,-73.99744588,11,-10.087,,4.750,12,17,23,,
T,2021-09-15 21:51:56,40.72137371,-73.99743011,11,-10.022,,4.220,15,17,23,,
T,2021-09-15 21:51:57,40.72141014,-73.99741687,12,-8.980,,3.840,15,18,23,,
T,2021-09-15 21:51:58,40.72143352,-73.99741169,11,-10.457,,2.870,13,17,23,,
T,2021-09-15 21:51:59,40.72144354,-73.99740976,11,-8.309,,1.290,14,18,23,,
T,2021-09-15 21:52:02,40.72142642,-73.99740773,11,-2.486,,0.390,14,18,23,,
T,2021-09-15 21:52:06,40.72144851,-73.99740557,11,1.729,,1.420,9,20,23,,
T,2021-09-15 21:52:07,40.72145482,-73.99740876,11,0.764,,0.000,,20,23,,
T,2021-09-15 21:52:08,40.72146478,-73.99741514,11,0.640,,0.700,7,20,23,,
T,2021-09-15 21:52:09,40.72148104,-73.99741875,12,0.818,,1.270,7,20,23,,
T,2021-09-15 21:52:10,40.72150181,-73.99741930,12,-0.200,,1.580,6,20,23,,
T,2021-09-15 21:52:11,40.72152255,-73.99741804,12,-0.672,,1.490,6,21,23,,
T,2021-09-15 21:52:12,40.72154521,-73.99741456,13,-1.353,,1.610,6,20,23,,
T,2021-09-15 21:52:13,40.72156453,-73.99740959,14,-1.374,,1.540,7,20,23,,
T,2021-09-15 21:52:14,40.72157544,-73.99740590,14,-1.171,,0.660,6,20,23,,
T,2021-09-15 21:52:15,40.72159049,-73.99740363,14,-0.287,,0.650,6,20,23,,
T,2021-09-15 21:52:16,40.72159985,-73.99740226,14,-0.226,,0.440,6,20,23,,
T,2021-09-15 21:52:18,40.72161347,-73.99740097,14,1.374,,0.430,6,22,23,,
T,2021-09-15 21:52:19,40.72163043,-73.99739818,14,1.750,,0.760,6,22,23,,
T,2021-09-15 21:52:20,40.72164443,-73.99739702,14,2.736,,0.700,6,22,23,,
T,2021-09-15 21:52:21,40.72166117,-73.99739671,14,2.669,,0.850,6,21,23,,
T,2021-09-15 21:52:22,40.72167142,-73.99739607,14,3.398,,0.310,6,20,23,,
T,2021-09-15 21:52:24,40.72169238,-73.99739525,13,2.153,,0.400,5,18,23,,
T,2021-09-15 21:52:25,40.72170617,-73.99739554,13,2.204,,0.350,5,17,23,,
T,2021-09-15 21:52:26,40.72172009,-73.99739663,13,1.362,,0.310,5,17,23,,
T,2021-09-15 21:52:27,40.72171591,-73.99739457,13,0.696,,0.000,,17,23,,
T,2021-09-15 21:52:28,40.72172789,-73.99739565,13,1.217,,0.000,,17,23,,
T,2021-09-15 21:52:33,40.72173701,-73.99739189,13,3.806,,0.000,,21,23,,
T,2021-09-15 21:52:43,40.72174362,-73.99739517,12,4.665,,0.000,,18,23,,
T,2021-09-15 21:52:44,40.72176508,-73.99738437,12,5.052,,2.060,6,18,23,,
T,2021-09-15 21:52:45,40.72178950,-73.99737755,12,5.880,,1.900,7,18,23,,
T,2021-09-15 21:52:46,40.72181424,-73.99736120,12,5.106,,2.200,8,19,23,,
T,2021-09-15 21:52:47,40.72183226,-73.99735048,12,7.266,,1.460,8,20,23,,
T,2021-09-15 21:52:48,40.72185053,-73.99734442,12,8.720,,1.550,6,19,23,,
T,2021-09-15 21:52:49,40.72186776,-73.99733781,12,9.586,,1.330,4,18,23,,
T,2021-09-15 21:52:50,40.72187790,-73.99734370,13,9.736,,1.010,1,16,23,,
T,2021-09-15 21:52:52,40.72188337,-73.99736339,13,12.026,,0.330,2,19,23,,
T,2021-09-15 21:52:53,40.72188575,-73.99737444,14,13.117,,0.280,1,18,23,,
T,2021-09-15 21:52:54,40.72188405,-73.99738596,13,15.028,,0.000,,18,23,,
T,2021-09-15 21:52:55,40.72188245,-73.99740194,14,18.240,,0.160,1,18,23,,
T,2021-09-15 21:52:56,40.72187995,-73.99740711,14,16.660,,0.000,,17,23,,
T,2021-09-15 21:52:58,40.72187010,-73.99742595,14,19.886,,0.000,,18,23,,
T,2021-09-15 21:52:59,40.72186669,-73.99744488,14,20.268,,0.000,,18,23,,
T,2021-09-15 21:53:01,40.72185958,-73.99746372,14,20.806,,0.000,,19,23,,
T,2021-09-15 21:53:04,40.72185664,-73.99747819,15,21.964,,0.000,,18,23,,
T,2021-09-15 21:53:08,40.72186438,-73.99747189,13,23.207,,0.000,,19,23,,
T,2021-09-15 21:53:09,40.72191937,-73.99740798,13,17.701,,4.910,2,18,23,,
T,2021-09-15 21:53:10,40.72203026,-73.99712219,13,10.777,,7.510,45,17,23,,
T,2021-09-15 21:53:11,40.72211130,-73.99711066,12,7.986,,7.080,30,18,23,,
T,2021-09-15 21:53:12,40.72215923,-73.99708768,12,9.833,,6.810,9,19,23,,
T,2021-09-15 21:53:13,40.72224240,-73.99708033,12,11.153,,7.470,11,18,23,,
T,2021-09-15 21:53:14,40.72234152,-73.99705814,12,12.215,,8.400,13,18,23,,
T,2021-09-15 21:53:15,40.72246685,-73.99701884,12,7.723,,9.530,16,18,23,,
T,2021-09-15 21:53:16,40.72258933,-73.99699095,12,3.116,,10.160,17,18,23,,
T,2021-09-15 21:53:17,40.72267852,-73.99695615,12,2.004,,10.430,17,18,23,,
T,2021-09-15 21:53:18,40.72280102,-73.99689440,12,-2.464,,10.930,18,18,23,,
T,2021-09-15 21:53:19,40.72289403,-73.99685975,12,-3.966,,10.330,16,19,23,,
T,2021-09-15 21:53:20,40.72299847,-73.99683553,12,-5.431,,9.440,16,18,23,,
T,2021-09-15 21:53:21,40.72307168,-73.99681040,12,-3.768,,8.720,16,19,23,,
T,2021-09-15 21:53:22,40.72315706,-73.99679349,11,-4.469,,7.770,16,19,23,,
T,2021-09-15 21:53:23,40.72321106,-73.99677326,11,-5.502,,6.730,16,19,23,,
T,2021-09-15 21:53:24,40.72326717,-73.99674253,11,-6.026,,6.240,17,19,23,,
T,2021-09-15 21:53:25,40.72331811,-73.99671045,11,-8.099,,5.230,19,18,23,,
T,2021-09-15 21:53:26,40.72336103,-73.99668255,11,-8.414,,4.670,21,18,23,,
T,2021-09-15 21:53:27,40.72338973,-73.99667339,11,-7.854,,3.580,22,18,23,,
T,2021-09-15 21:53:28,40.72341558,-73.99666251,11,-9.182,,2.940,24,18,23,,
T,2021-09-15 21:53:29,40.72343721,-73.99664781,11,-8.332,,2.280,27,19,23,,
T,2021-09-15 21:53:30,40.72344409,-73.99663362,11,-7.410,,1.230,29,19,23,,
T,2021-09-15 21:53:31,40.72344975,-73.99662210,11,-6.731,,0.930,30,19,23,,
T,2021-09-15 21:53:33,40.72345707,-73.99661440,11,-7.560,,0.160,30,20,23,,
T,2021-09-15 21:53:34,40.72346478,-73.99660163,12,-8.478,,0.000,,20,23,,
T,2021-09-15 21:53:36,40.72347477,-73.99658833,11,-9.119,,0.000,,21,23,,
T,2021-09-15 21:53:51,40.72346981,-73.99659574,11,-6.360,,0.000,,19,23,,
T,2021-09-15 21:53:52,40.72353164,-73.99655504,11,-6.174,,5.040,31,19,23,,
T,2021-09-15 21:53:53,40.72359139,-73.99649767,11,-7.491,,6.200,34,18,23,,
T,2021-09-15 21:53:54,40.72364604,-73.99645293,11,-7.904,,6.790,30,19,23,,
T,2021-09-15 21:53:55,40.72371605,-73.99641682,11,-8.239,,6.320,26,19,23,,
T,2021-09-15 21:53:56,40.72379724,-73.99639443,11,-10.748,,7.190,28,17,23,,
T,2021-09-15 21:53:57,40.72385832,-73.99635148,12,-11.279,,7.350,28,17,23,,
T,2021-09-15 21:53:58,40.72394052,-73.99627950,11,-10.763,,9.330,27,19,23,,
T,2021-09-15 21:53:59,40.72402456,-73.99622130,12,-9.514,,9.450,31,17,23,,
T,2021-09-15 21:54:00,40.72411403,-73.99616339,12,-10.845,,9.350,31,17,23,,
T,2021-09-15 21:54:01,40.72415981,-73.99614179,12,-10.328,,7.450,32,17,23,,
T,2021-09-15 21:54:02,40.72422041,-73.99609411,13,-10.435,,7.500,33,17,23,,
T,2021-09-15 21:54:03,40.72427345,-73.99605747,14,-10.830,,7.240,32,14,23,,
T,2021-09-15 21:54:04,40.72428550,-73.99604680,15,-10.791,,5.400,33,13,23,,
T,2021-09-15 21:54:05,40.72434565,-73.99600738,17,-11.150,,5.770,32,14,23,,
T,2021-09-15 21:54:06,40.72434374,-73.99597435,17,-10.142,,4.760,39,15,23,,
T,2021-09-15 21:54:07,40.72434163,-73.99595647,17,-10.178,,3.780,41,13,23,,
T,2021-09-15 21:54:08,40.72437579,-73.99590518,17,-11.271,,4.110,45,13,23,,
T,2021-09-15 21:54:09,40.72438997,-73.99590684,16,-11.343,,3.200,45,12,23,,
T,2021-09-15 21:54:10,40.72439551,-73.99591975,16,-10.348,,2.660,43,12,23,,
T,2021-09-15 21:54:11,40.72442613,-73.99589268,14,-10.833,,3.490,41,13,23,,
T,2021-09-15 21:54:12,40.72444288,-73.99586281,13,-10.695,,3.720,43,13,22,,
T,2021-09-15 21:54:13,40.72446564,-73.99582532,13,-11.092,,4.210,44,14,23,,
T,2021-09-15 21:54:14,40.72450649,-73.99577771,13,-11.200,,5.810,43,14,23,,
T,2021-09-15 21:54:15,40.72453886,-73.99572755,13,-10.981,,5.780,44,15,23,,
T,2021-09-15 21:54:16,40.72458140,-73.99565866,15,-10.060,,6.200,45,15,23,,
T,2021-09-15 21:54:17,40.72465999,-73.99561958,14,-9.658,,7.750,39,15,23,,
T,2021-09-15 21:54:18,40.72471144,-73.99553266,14,-11.113,,7.600,38,16,23,,
T,2021-09-15 21:54:19,40.72475466,-73.99547392,13,-11.120,,7.410,46,16,23,,
T,2021-09-15 21:54:20,40.72478722,-73.99540355,13,-9.642,,7.190,45,16,23,,
T,2021-09-15 21:54:21,40.72485368,-73.99536462,12,-9.439,,7.440,43,17,23,,
T,2021-09-15 21:54:22,40.72494571,-73.99537785,12,-9.346,,7.730,38,18,23,,
T,2021-09-15 21:54:23,40.72503011,-73.99533645,11,-8.646,,8.510,38,19,23,,
T,2021-09-15 21:54:24,40.72510643,-73.99530440,11,-8.136,,9.000,34,20,23,,
T,2021-09-15 21:54:25,40.72517849,-73.99524899,11,-8.758,,10.160,33,19,23,,
T,2021-09-15 21:54:26,40.72527306,-73.99518105,10,-7.481,,11.010,33,20,23,,
T,2021-09-15 21:54:27,40.72537270,-73.99511191,10,-7.852,,11.680,33,20,23,,
T,2021-09-15 21:54:28,40.72546734,-73.99503508,11,-7.463,,12.370,32,20,23,,
T,2021-09-15 21:54:29,40.72556595,-73.99495068,11,-7.975,,12.740,31,19,23,,
T,2021-09-15 21:54:30,40.72565967,-73.99486746,11,-7.761,,12.660,34,19,23,,
T,2021-09-15 21:54:31,40.72575235,-73.99477266,11,-7.740,,12.520,31,19,23,,
T,2021-09-15 21:54:32,40.72584595,-73.99469693,11,-8.135,,11.870,32,17,23,,
T,2021-09-15 21:54:33,40.72593948,-73.99461402,12,-6.773,,11.830,33,17,23,,
T,2021-09-15 21:54:34,40.72603052,-73.99455071,12,-6.615,,11.480,29,17,23,,
T,2021-09-15 21:54:35,40.72610644,-73.99448831,12,-6.381,,10.970,31,19,23,,
T,2021-09-15 21:54:36,40.72619981,-73.99442511,13,-5.742,,11.050,29,20,23,,
T,2021-09-15 21:54:37,40.72630104,-73.99434121,13,-5.419,,11.270,30,20,23,,
T,2021-09-15 21:54:38,40.72637042,-73.99429472,13,-6.413,,10.520,31,20,23,,
T,2021-09-15 21:54:39,40.72645539,-73.99422637,13,-5.577,,10.340,32,19,23,,
T,2021-09-15 21:54:40,40.72654407,-73.99415057,12,-4.781,,10.730,30,19,23,,
T,2021-09-15 21:54:41,40.72663297,-73.99410462,13,-5.181,,10.780,29,18,23,,
T,2021-09-15 21:54:42,40.72670515,-73.99406832,13,-3.154,,9.200,29,16,23,,
T,2021-09-15 21:54:43,40.72674829,-73.99403526,12,-3.262,,8.410,27,18,23,,
T,2021-09-15 21:54:44,40.72680921,-73.99399696,12,-3.585,,8.520,32,19,23,,
T,2021-09-15 21:54:45,40.72687135,-73.99394519,12,-2.335,,8.870,32,19,23,,
T,2021-09-15 21:54:46,40.72694742,-73.99388592,12,-0.720,,9.000,32,18,23,,
T,2021-09-15 21:54:47,40.72700795,-73.99384910,12,-1.770,,8.590,32,19,23,,
T,2021-09-15 21:54:48,40.72706772,-73.99381756,11,-3.251,,7.980,33,19,23,,
T,2021-09-15 21:54:49,40.72712100,-73.99377218,12,-3.231,,7.350,35,18,23,,
T,2021-09-15 21:54:50,40.72718107,-73.99370913,12,-2.592,,7.580,35,18,23,,
T,2021-09-15 21:54:51,40.72723536,-73.99366342,11,-4.627,,6.890,30,19,23,,
T,2021-09-15 21:54:52,40.72728621,-73.99362130,11,-3.795,,6.400,31,19,23,,
T,2021-09-15 21:54:53,40.72733377,-73.99357843,12,-4.632,,6.420,33,19,23,,
T,2021-09-15 21:54:54,40.72736302,-73.99353910,11,-4.811,,5.480,34,19,23,,
T,2021-09-15 21:54:55,40.72739357,-73.99350167,11,-5.610,,5.220,37,20,23,,
T,2021-09-15 21:54:56,40.72742845,-73.99346613,11,-5.381,,5.510,38,20,23,,
T,2021-09-15 21:54:57,40.72747311,-73.99342193,11,-3.215,,5.940,32,19,23,,
T,2021-09-15 21:54:58,40.72752846,-73.99337714,11,-2.740,,6.680,28,18,23,,
T,2021-09-15 21:54:59,40.72758761,-73.99333540,12,-2.565,,7.410,30,17,23,,
T,2021-09-15 21:55:00,40.72765242,-73.99328510,12,-1.556,,8.370,30,17,23,,
T,2021-09-15 21:55:01,40.72772120,-73.99323106,13,-1.326,,9.230,30,17,23,,
T,2021-09-15 21:55:02,40.72779182,-73.99316911,12,-1.838,,9.910,33,16,23,,
T,2021-09-15 21:55:03,40.72787743,-73.99309704,12,-3.047,,10.690,32,16,23,,
T,2021-09-15 21:55:04,40.72796035,-73.99301286,12,-4.263,,10.870,34,18,23,,
T,2021-09-15 21:55:05,40.72804975,-73.99293870,12,-4.384,,11.360,30,18,23,,
T,2021-09-15 21:55:06,40.72815088,-73.99286527,12,-5.540,,11.260,27,18,23,,
T,2021-09-15 21:55:07,40.72823080,-73.99279197,12,-5.908,,10.590,29,19,23,,
T,2021-09-15 21:55:08,40.72830554,-73.99272381,12,-5.598,,10.590,36,19,23,,
T,2021-09-15 21:55:09,40.72839280,-73.99263611,12,-5.133,,11.030,39,19,23,,
T,2021-09-15 21:55:10,40.72848272,-73.99255108,12,-5.335,,11.510,36,17,23,,
T,2021-09-15 21:55:11,40.72858104,-73.99248509,13,-7.843,,11.180,39,17,23,,
T,2021-09-15 21:55:12,40.72865290,-73.99240514,13,-7.327,,10.570,40,17,23,,
T,2021-09-15 21:55:13,40.72873027,-73.99236484,13,-8.324,,10.070,31,18,22,,
T,2021-09-15 21:55:14,40.72880352,-73.99231194,13,-9.249,,9.890,28,18,23,,
T,2021-09-15 21:55:15,40.72887586,-73.99224938,13,-6.825,,9.440,31,18,23,,
T,2021-09-15 21:55:16,40.72894001,-73.99221249,13,-7.381,,8.190,35,18,23,,
T,2021-09-15 21:55:17,40.72901638,-73.99217721,13,-6.917,,8.150,34,17,23,,
T,2021-09-15 21:55:18,40.72908036,-73.99211673,14,-7.286,,8.520,34,16,23,,
T,2021-09-15 21:55:19,40.72912652,-73.99206636,14,-7.734,,6.970,42,14,23,,
T,2021-09-15 21:55:20,40.72917834,-73.99207587,13,-6.379,,5.240,29,14,23,,
T,2021-09-15 21:55:21,40.72920530,-73.99206175,13,-6.245,,5.050,33,15,23,,
T,2021-09-15 21:55:22,40.72925929,-73.99201530,14,-7.081,,5.840,34,15,23,,
T,2021-09-15 21:55:23,40.72929928,-73.99199707,15,-7.960,,5.670,32,15,23,,
T,2021-09-15 21:55:24,40.72935148,-73.99193881,15,-7.032,,6.090,34,15,23,,
T,2021-09-15 21:55:25,40.72938797,-73.99191367,14,-5.793,,5.400,35,16,23,,
T,2021-09-15 21:55:26,40.72940735,-73.99186214,15,-5.889,,5.150,41,16,23,,
T,2021-09-15 21:55:27,40.72945096,-73.99184281,14,-5.258,,5.360,32,17,23,,
T,2021-09-15 21:55:28,40.72949596,-73.99181336,14,-5.423,,5.050,29,17,23,,
T,2021-09-15 21:55:29,40.72952951,-73.99178200,14,-4.482,,4.880,26,17,23,,
T,2021-09-15 21:55:30,40.72954566,-73.99176969,13,-3.705,,3.430,27,17,23,,
T,2021-09-15 21:55:31,40.72958301,-73.99175188,13,-3.592,,3.080,36,17,23,,
T,2021-09-15 21:55:32,40.72959963,-73.99173858,13,-2.996,,2.560,38,17,23,,
T,2021-09-15 21:55:33,40.72961844,-73.99171492,12,-3.647,,1.880,40,17,23,,
T,2021-09-15 21:55:34,40.72963219,-73.99168452,12,-4.152,,1.530,44,17,23,,
T,2021-09-15 21:55:35,40.72964026,-73.99166233,12,-4.227,,0.900,47,18,23,,
T,2021-09-15 21:55:36,40.72964524,-73.99164680,12,-3.947,,0.570,51,19,23,,
T,2021-09-15 21:55:37,40.72964757,-73.99163590,12,-4.812,,0.200,51,19,23,,
T,2021-09-15 21:55:38,40.72964221,-73.99160743,12,-5.406,,0.000,,19,23,,
T,2021-09-15 21:55:39,40.72963883,-73.99159346,12,-5.762,,0.000,,20,23,,
T,2021-09-15 21:55:40,40.72964314,-73.99158369,13,-6.209,,0.650,34,19,23,,
T,2021-09-15 21:55:42,40.72965409,-73.99156674,9,-5.784,,0.620,35,17,23,,
T,2021-09-15 21:55:45,40.72967860,-73.99154602,8,-6.046,,0.780,36,17,23,,
T,2021-09-15 21:55:46,40.72968755,-73.99154415,8,-6.995,,0.580,25,18,23,,
T,2021-09-15 21:55:48,40.72969673,-73.99154796,8,-7.562,,0.180,20,21,23,,
T,2021-09-15 21:55:49,40.72969855,-73.99155668,9,-8.282,,0.000,,21,23,,
T,2021-09-15 21:55:50,40.72969625,-73.99155960,9,-8.323,,0.000,,21,23,,
T,2021-09-15 21:55:51,40.72969961,-73.99154508,9,-8.580,,1.520,74,21,23,,
T,2021-09-15 21:55:52,40.72970422,-73.99153052,8,-8.934,,1.100,81,21,23,,
T,2021-09-15 21:55:54,40.72970804,-73.99151374,8,-7.858,,0.380,94,19,23,,
T,2021-09-15 21:55:55,40.72970650,-73.99150869,8,-6.900,,0.000,,19,23,,
T,2021-09-15 21:55:56,40.72970589,-73.99149966,8,-7.317,,0.690,105,20,23,,
T,2021-09-15 21:55:57,40.72970908,-73.99148512,8,-7.379,,0.940,78,19,23,,
T,2021-09-15 21:55:58,40.72971393,-73.99147376,7,-7.067,,1.000,78,20,23,,
T,2021-09-15 21:55:59,40.72971969,-73.99146443,7,-7.280,,1.080,78,20,23,,
T,2021-09-15 21:56:00,40.72972822,-73.99145485,7,-7.518,,1.350,75,20,23,,
T,2021-09-15 21:56:01,40.72973836,-73.99145173,8,-7.444,,1.130,70,20,23,,
T,2021-09-15 21:56:02,40.72974802,-73.99145609,9,-6.583,,0.990,63,20,23,,
T,2021-09-15 21:56:03,40.72977638,-73.99147639,8,-7.001,,2.560,25,20,23,,
T,2021-09-15 21:56:04,40.72980746,-73.99150214,8,-7.343,,2.880,347,20,23,,
T,2021-09-15 21:56:05,40.72983305,-73.99154101,8,-6.296,,3.250,330,20,23,,
T,2021-09-15 21:56:06,40.72985348,-73.99160542,9,-6.150,,4.770,298,20,23,,
T,2021-09-15 21:56:07,40.72986546,-73.99169896,10,-5.332,,5.110,291,19,23,,
T,2021-09-15 21:56:08,40.72988855,-73.99176768,11,-4.572,,5.580,287,19,23,,
T,2021-09-15 21:56:09,40.72990489,-73.99182233,14,-3.605,,5.230,288,19,23,,
T,2021-09-15 21:56:10,40.72992879,-73.99189502,15,-2.669,,5.740,290,18,23,,
T,2021-09-15 21:56:11,40.72996242,-73.99198251,15,-3.939,,5.720,292,18,23,,
T,2021-09-15 21:56:12,40.72999411,-73.99205922,14,-5.589,,5.120,293,17,23,,
T,2021-09-15 21:56:13,40.73002776,-73.99211014,14,-4.367,,4.590,296,17,23,,
T,2021-09-15 21:56:14,40.73003174,-73.99216014,14,-3.227,,3.970,296,15,23,,
T,2021-09-15 21:56:15,40.73004651,-73.99220766,14,-3.128,,3.590,289,15,23,,
T,2021-09-15 21:56:16,40.73005150,-73.99223313,13,-2.176,,2.550,266,15,23,,
T,2021-09-15 21:56:17,40.73005959,-73.99227020,12,-1.574,,2.760,266,16,23,,
T,2021-09-15 21:56:18,40.73006486,-73.99229856,12,-1.543,,2.010,289,17,23,,
T,2021-09-15 21:56:19,40.73007156,-73.99231802,12,-2.022,,1.350,286,16,23,,
T,2021-09-15 21:56:20,40.73007863,-73.99232829,11,-0.219,,1.070,291,17,23,,
T,2021-09-15 21:56:22,40.73009042,-73.99234288,12,1.810,,1.160,291,18,23,,
T,2021-09-15 21:56:23,40.73009416,-73.99234571,12,1.965,,0.280,287,18,23,,
T,2021-09-15 21:56:24,40.73009567,-73.99234080,13,4.027,,0.000,,17,23,,
T,2021-09-15 21:56:25,40.73009336,-73.99233981,13,4.536,,0.180,288,17,23,,
T,2021-09-15 21:56:26,40.73008552,-73.99233902,15,4.939,,0.000,,15,23,,
T,2021-09-15 21:56:30,40.73007602,-73.99233484,16,5.588,,0.000,,15,23,,
T,2021-09-15 21:57:22,40.73007132,-73.99233137,15,7.488,,0.000,,12,23,,
T,2021-09-15 21:57:23,40.73008997,-73.99237606,14,6.923,,1.770,286,12,23,,
T,2021-09-15 21:57:24,40.73022671,-73.99258537,13,-5.022,,2.340,283,13,23,,
T,2021-09-15 21:57:25,40.73024521,-73.99260391,13,-7.669,,0.790,282,13,23,,
T,2021-09-15 21:57:27,40.73024349,-73.99262828,13,-3.662,,0.940,276,12,23,,
T,2021-09-15 21:57:28,40.73023610,-73.99266090,12,-0.778,,1.430,270,12,23,,
T,2021-09-15 21:57:29,40.73021359,-73.99271105,12,0.479,,2.210,262,13,23,,
T,2021-09-15 21:57:30,40.73019450,-73.99277279,12,3.832,,2.720,252,13,23,,
T,2021-09-15 21:57:31,40.73017584,-73.99283410,12,5.983,,2.870,245,13,23,,
T,2021-09-15 21:57:32,40.73015554,-73.99288776,12,7.592,,2.970,239,14,23,,
T,2021-09-15 21:57:33,40.73013132,-73.99293068,12,8.442,,3.030,234,15,23,,
T,2021-09-15 21:57:34,40.73010744,-73.99296034,12,8.185,,2.820,217,15,23,,
T,2021-09-15 21:57:35,40.73008486,-73.99298215,12,6.166,,2.660,215,14,23,,
T,2021-09-15 21:57:36,40.73006791,-73.99300118,12,5.661,,2.370,214,14,23,,
T,2021-09-15 21:57:37,40.73005183,-73.99301654,12,6.603,,2.070,213,14,23,,
T,2021-09-15 21:57:38,40.73003597,-73.99303032,12,7.393,,1.840,212,13,23,,
T,2021-09-15 21:57:39,40.73002476,-73.99304218,12,7.725,,1.410,213,12,23,,
T,2021-09-15 21:57:40,40.73001732,-73.99305124,13,7.230,,1.200,213,13,23,,
T,2021-09-15 21:57:42,40.73000545,-73.99305825,13,7.427,,0.610,211,15,23,,
T,2021-09-15 21:57:43,40.73000084,-73.99305741,13,7.827,,0.410,211,15,23,,
T,2021-09-15 21:57:44,40.72999095,-73.99305150,13,8.040,,0.000,,16,23,,
T,2021-09-15 21:57:46,40.72998240,-73.99304777,13,8.490,,0.000,,16,23,,
T,2021-09-15 21:57:52,40.72998310,-73.99305162,12,7.754,,0.000,,14,23,,
T,2021-09-15 21:57:53,40.72998283,-73.99305375,12,7.707,,0.280,209,14,23,,
T,2021-09-15 21:57:55,40.72997118,-73.99306239,11,7.656,,0.930,209,14,23,,
T,2021-09-15 21:57:56,40.72995636,-73.99307157,11,8.263,,1.820,208,15,23,,
T,2021-09-15 21:57:57,40.72993037,-73.99309495,11,8.328,,3.260,211,15,23,,
T,2021-09-15 21:57:58,40.72990031,-73.99312015,11,9.184,,3.760,212,15,23,,
T,2021-09-15 21:57:59,40.72986681,-73.99314825,11,9.253,,4.020,212,15,23,,
T,2021-09-15 21:58:00,40.72983364,-73.99318009,11,8.182,,4.020,212,15,23,,
T,2021-09-15 21:58:01,40.72980275,-73.99321435,11,8.268,,4.090,212,14,23,,
T,2021-09-15 21:58:03,40.72974702,-73.99327418,11,8.017,,4.090,212,15,23,,
T,2021-09-15 21:58:04,40.72971653,-73.99329915,11,7.058,,4.080,211,14,23,,
T,2021-09-15 21:58:05,40.72967808,-73.99332418,11,6.421,,4.460,210,14,24,,
T,2021-09-15 21:58:06,40.72963813,-73.99335081,11,5.693,,4.640,210,15,24,,
T,2021-09-15 21:58:07,40.72959682,-73.99337543,11,4.567,,4.860,210,12,24,,
T,2021-09-15 21:58:08,40.72955392,-73.99339395,11,4.331,,5.310,210,9,24,,
T,2021-09-15 21:58:09,40.72951650,-73.99343130,12,3.841,,5.570,211,9,24,,
T,2021-09-15 21:58:10,40.72946873,-73.99346685,12,3.921,,5.800,211,9,24,,
T,2021-09-15 21:58:11,40.72942045,-73.99350943,12,3.836,,6.100,211,11,24,,
T,2021-09-15 21:58:12,40.72937309,-73.99354805,13,4.385,,6.250,211,12,24,,
T,2021-09-15 21:58:13,40.72933126,-73.99359282,14,4.201,,6.220,212,11,24,,
T,2021-09-15 21:58:14,40.72927391,-73.99363555,14,3.368,,6.460,212,12,24,,
T,2021-09-15 21:58:15,40.72922168,-73.99367171,14,3.412,,6.310,213,11,24,,
